,Wolfgang Amadeus Mozart,Franz Liszt,Joseph Haydn,Johannes Brahms,Robert Schumann,Antonio Vivaldi,Roland de Lassus,Frédéric Chopin,Franz Schubert,Domenico Scarlatti,Claude Debussy,Georg Philipp Telemann,Marc Antoine Charpentier,Henry Purcell,Ludwig van Beethoven,Claudio Monteverdi,Alessandro Scarlatti,Carl Philipp Emanuel Bach,Camille Saint-Saëns,Jean Sibelius,Richard Strauss,Francis Poulenc,Jean-Philippe Rameau,Maurice Ravel,Gabriel Fauré,Benjamin Britten,Charles Koechlin,Luigi Boccherini,Johann Sebastian Bach,Domenico Cimarosa,Béla Bartók,Paul Hindemith,Felix Mendelssohn Bartholdy,Hugo Wolf,François Couperin,Edvard Grieg,Erik Satie,Hector Berlioz,Richard Wagner,Heitor Villa-Lobos,Luigi Cherubini,Darius Milhaud,Karlheinz Stockhausen,Charles Gounod,Giuseppe Verdi,Henri Sauguet,Jacques Offenbach,César Franck,György Ligeti,Jules Massenet,Bohuslav Martinů,Johann Strauss,Baldassare Galuppi,Wolfgang Rihm,Charles Ives,Niccolò Paganini,Hanns Eisler,Edward Elgar,Pierre Boulez,John Cage,Jordi Savall,Luciano Berio,Gaetano Donizetti,Jean-Baptiste Lully,Olivier Messiaen,Gustav Mahler,André Campra,George Gershwin,Max Reger,Carl Maria von Weber,Igor Stravinsky,Georges Bizet,Leoš Janáček,Arvo Pärt,Tōru Takemitsu,Enrique Granados,Arthur Honegger,Astor Piazzolla,André Jolivet,Anton Webern,Anton Bruckner,Claude Arrieu,Bedřich Smetana,Elliott Carter,Franco Donatoni,William Christie,Iannis Xenakis,Georg Friedrich Haendel,Pascal Dusapin,Hans Werner Henze,Arnold Schoenberg,Bruno Mantovani,Antonín Dvořák,Piotr Ilitch Tchaïkovski,Johann Christian Bach,Aaron Copland,Ferruccio Busoni,Ralph Vaughan Williams,Zoltán Kodály,Leonard Bernstein
60,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
62,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1
66,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
68,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1
